,ransactime
0,0.03482
1,0.03097
2,0.03661
3,0.04669
4,0.03118
5,0.02287
6,0.01875
7,0.02119
8,0.00436
9,0.00341
10,0.03111
11,0.1197
12,0.04248
13,0.07325
14,0.07992
15,0.03523
16,0.02301
17,0.03429
18,0.03052
19,0.02
20,0.03461
21,0.0308
22,0.00363
23,0.024
24,0.00968
25,0.02885
26,0.02834
27,0.03483
28,0.03039
29,0.02734
30,0.00499
31,0.00326
32,0.02992
33,0.02267
34,0.02941
35,0.02998
36,0.02774
37,0.00859
38,0.08633
39,0.02421
